attempt_date,candidate_id,source_tier,source_url,artifact_expected,outcome,next_action
2026-07-05,kaust_2023,T1_institutional_repository,https://repository.kaust.edu.sa/handle/10754/688039,"ScienceDirect_files_21Feb2023_05-15-53.116.zip (3.9 MB)",blocked_by_repository_protection,"Manually download from the official KAUST record; retain original ZIP and checksum before extraction."
2026-07-05,nuig_2023,T1_author_institution,https://research.universityofgalway.ie/en/publications/the-combustion-chemistry-of-ammonia-and-ammoniahydrogen-mixtures--4/,publication_record_verified_no_artifact,"Retrieve the exact publisher supplement; do not substitute NUIGMech1.1."
2026-07-05,shrestha_2018,T1_author_data_repository,https://data.mendeley.com/datasets/25zw5d5ttw/3,"Shrestha_et_al_2018-07-06_mech.txt; 2020 format update; therm; transport; validation PDF",manually_downloaded_converted_audited,"Archive retained unchanged with SHA256 42196CB45CDD10CBD57EA6059A462AD0CF29951724AB5F9063698E062A87AF78; run observable-specific validation before final admission."
2026-07-05,rmg_2026,T1_publisher_supplement,https://doi.org/10.1039/D5CP04149J,"Supplementary ZIP (37,728 kB)",blocked_by_publisher_and_enterprise_policy,"Download only from the official RSC article when access is available; do not use mirrors."
2026-07-05,ucsd_2018_nox,T1_author_institution,https://web.eng.ucsd.edu/mae/groups/combustion/mechanism.html,"Chemkin mechanism, thermo, transport and documentation",downloaded_converted_audited_and_screened,"Retain as a screened compact baseline; exclude from the primary ensemble after LBV and IDT validation failures. Source licence still requires confirmation."
2026-07-05,mei_2019,T1_institutional_mechanism_database,https://chemistry.cerfacs.fr/en/mei_2019-mechanism/,"Public YAML file; 38 species; 264 reversible reactions",manual_download_required_after_approval_quota,"Download the YAML using the visible 'Yaml file' link on the official CERFACS page; do not rename or edit before SHA-256 intake."
2026-07-05,mei_2019,T1_institutional_mechanism_database,https://chemistry.cerfacs.fr/en/mei_2019-mechanism/,MEI_2019.yaml,downloaded_audited_and_validated,"SHA256 691344435FC589CA3594821EFE80C51E3B873285E9D337EAB2E205E481031C1F; immutable source archived; full IDT/JSR/LBV validation complete."
2026-07-05,c3_v3_5_c0,T1_institutional_mechanism_database,https://chemistry.cerfacs.fr/en/c3-v3-5_c0-mechanism/,C3-v3.5_C0.yaml,downloaded_audited_and_validated,"SHA256 56F2F2F7BC3E16CE2DE9FB860FB5B686223560357C8B255651B274D11AE4797F; official CERFACS C0 extraction; source attribution verified against the institutional record."
2026-07-05,rmg_2026,T1_publisher_supplement,https://doi.org/10.1039/D5CP04149J,d5cp04149j2_suppl.zip,downloaded_normalized_and_validated,"SHA256 DD5FFDCC4C44EB487A42A09C5317FC5DAB83EC682EF7954043A5D32901125716; Burke-linear variant selected as primary and standard variant retained only for ablation."
2026-07-05,nuig_2023,T1_publisher_supplement,https://doi.org/10.1016/j.combustflame.2023.113239,ScienceDirect_files_05Jul2026_10-36-51.666.zip,downloaded_converted_audited_and_validated,"SHA256 0FF2C354A82A42FA69749D9C3157210D070B2DBD139E7DF1D2B98587BBAB9517; mechanism, thermo and transport retained together; IDT/JSR validation complete."
2026-07-05,mei_2021,T1_publisher_supplement,https://doi.org/10.1016/j.combustflame.2021.111472,ScienceDirect_files_05Jul2026_10-37-24.292.zip,downloaded_converted_audited_and_validated,"SHA256 F59BA86B77B33A6ECD7C041F8538505508D6A3F77BE0CF432F85077B2E4BE7EE; experiment workbook and exact mechanism/thermo/transport release retained."
2026-07-05,otomo_2018,T1_publisher_supplement,https://doi.org/10.1016/j.ijhydene.2017.12.066,ScienceDirect_files_05Jul2026_10-37-47.882.zip,downloaded_converted_audited_and_validated,"SHA256 1945EEC09C90E23303C366D92B48981F0BED204F4DB3BE567CA9757CF13A1041; mechanism, thermo and transport retained from one release."
2026-07-05,kaust_2023,T1_institutional_repository,https://repository.kaust.edu.sa/handle/10754/688039,ScienceDirect_files_21Feb2023_05-15-53.116.zip,downloaded_converted_audited_and_validated,"SHA256 5D40BD7C78F4C04762C89C9A65184E291947E2764F7EC6259E4FC77DD28029E8; nested file has a RAR signature despite .zip extension and was extracted with libarchive; complete C1 model selected."
